 
       w [eV]        Osc. strength         Transition      Weight      KS [eV]      D<S*S>
 
 ==========================================================================================
 
      2.402          0.0000462           249   -> 278       1.000       2.402       0.003
      2.415          0.0001920           278   -> 289       1.000       2.415       0.002
      2.423          0.0000065           236   -> 279       1.000       2.423       0.998
      2.425          0.0000637           278   -> 290       1.000       2.425       0.005
      2.431          0.0000410           265   -> 279       1.000       2.430       0.999
      2.435          0.0000255           235   -> 279       0.999       2.434       0.946
      2.440          0.0000874           248   -> 278       0.993       2.438       0.159
      2.441          0.0000204           234   -> 279       0.997       2.440       0.922
      2.447          0.0000762           233   -> 279       0.998       2.446       0.977
      2.449          0.0000764           264   -> 279       0.999       2.448       0.982
      2.463          0.0002933           247   -> 278       1.000       2.462       0.009
      2.471          0.0000235           246   -> 278       1.000       2.471       0.009
      2.473          0.0000622           263   -> 279       1.000       2.472       0.994
      2.474          0.0000143           232   -> 279       1.000       2.474       0.996
      2.499          0.0000015           231   -> 279       1.000       2.499       0.979
      2.500          0.0000410           245   -> 278       1.000       2.500       0.025
      2.505          0.0001182           278   -> 291       1.000       2.504       0.011
      2.505          0.0000063           262   -> 279       1.000       2.505       0.991
      2.521          0.0000183           261   -> 279       1.000       2.521       0.999
      2.522          0.0000133           230   -> 279       1.000       2.522       0.995
      2.525          0.0000944           229   -> 279       1.000       2.524       0.973
      2.532          0.0000889           278   -> 292       1.000       2.531       0.005
      2.539          0.0000617           244   -> 278       0.812       2.537       0.007
      2.540          0.0002759           243   -> 278       0.840       2.539       0.018
      2.547          0.0000781           242   -> 278       1.000       2.546       0.008
      2.553          0.0000140           228   -> 279       1.000       2.553       0.995
      2.557          0.0000426           278   -> 293       1.000       2.556       0.004
      2.566          0.0000146           260   -> 279       1.000       2.566       0.997
      2.571          0.0000119           227   -> 279       1.000       2.571       0.999
      2.576          0.0000456           278   -> 294       1.000       2.575       0.003
      2.592          0.0001012           241   -> 278       1.000       2.591       0.004
      2.599          0.0000899           278   -> 295       1.000       2.598       0.004
      2.608          0.0001299           240   -> 278       0.999       2.608       0.039
      2.609          0.0000443           226   -> 279       0.999       2.609       0.956
      2.615          0.0000320           239   -> 278       1.000       2.614       0.004
      2.618          0.0000120           278   -> 296       1.000       2.618       0.002
      2.625          0.0000141           259   -> 279       1.000       2.625       0.999
      2.627          0.0000061           225   -> 279       1.000       2.627       0.998
      2.639          0.0000084           224   -> 279       0.997       2.639       0.924
